year,teamID,franchID,lgID,name,wins,losses,runs_scored,runs_allowed,nl_winner,al_winner,ws_winner,ws_game_wins,series_length
1974,OAK,OAK,AL,Oakland Athletics,90,72,689,551,0,1,1,4,5
1974,LAN,LAD,NL,Los Angeles Dodgers,102,60,798,561,1,0,0,1,5
1975,CIN,CIN,NL,Cincinnati Reds,108,54,840,586,1,0,1,4,7
1975,BOS,BOS,AL,Boston Red Sox,95,65,796,709,0,1,0,3,7
1976,CIN,CIN,NL,Cincinnati Reds,102,60,857,633,1,0,1,4,4
1976,NYA,NYY,AL,New York Yankees,97,62,730,575,0,1,0,0,4
1977,NYA,NYY,AL,New York Yankees,100,62,831,651,0,1,1,4,6
1977,LAN,LAD,NL,Los Angeles Dodgers,98,64,769,582,1,0,0,2,6
1978,NYA,NYY,AL,New York Yankees,100,63,735,582,0,1,1,4,6
1978,LAN,LAD,NL,Los Angeles Dodgers,95,67,727,573,1,0,0,2,6
1979,PIT,PIT,NL,Pittsburgh Pirates,98,64,775,643,1,0,1,4,7
1979,BAL,BAL,AL,Baltimore Orioles,102,57,757,582,0,1,0,3,7
1980,PHI,PHI,NL,Philadelphia Phillies,91,71,728,639,1,0,1,4,6
1980,KCA,KCR,AL,Kansas City Royals,97,65,809,694,0,1,0,2,6
1981,LAN,LAD,NL,Los Angeles Dodgers,63,47,450,356,1,0,1,4,6
1981,NYA,NYY,AL,New York Yankees,59,48,421,343,0,1,0,2,6
1982,SLN,STL,NL,St. Louis Cardinals,92,70,685,609,1,0,1,4,7
1982,ML4,MIL,AL,Milwaukee Brewers,95,67,891,717,0,1,0,3,7
1983,BAL,BAL,AL,Baltimore Orioles,98,64,799,652,0,1,1,4,5
1983,PHI,PHI,NL,Philadelphia Phillies,90,72,696,635,1,0,0,1,5
1984,DET,DET,AL,Detroit Tigers,104,58,829,643,0,1,1,4,5
1984,SDN,SDP,NL,San Diego Padres,92,70,686,634,1,0,0,1,5
1985,KCA,KCR,AL,Kansas City Royals,91,71,687,639,0,1,1,4,7
1985,SLN,STL,NL,St. Louis Cardinals,101,61,747,572,1,0,0,3,7
1986,NYN,NYM,NL,New York Mets,108,54,783,578,1,0,1,4,7
1986,BOS,BOS,AL,Boston Red Sox,95,66,794,696,0,1,0,3,7
1987,MIN,MIN,AL,Minnesota Twins,85,77,786,806,0,1,1,4,7
1987,SLN,STL,NL,St. Louis Cardinals,95,67,798,693,1,0,0,3,7
1988,LAN,LAD,NL,Los Angeles Dodgers,94,67,628,544,1,0,1,4,5
1988,OAK,OAK,AL,Oakland Athletics,104,58,800,620,0,1,0,1,5
1989,OAK,OAK,AL,Oakland Athletics,99,63,712,576,0,1,1,4,4
1989,SFN,SFG,NL,San Francisco Giants,92,70,699,600,1,0,0,0,4
1990,CIN,CIN,NL,Cincinnati Reds,91,71,693,597,1,0,1,4,4
1990,OAK,OAK,AL,Oakland Athletics,103,59,733,570,0,1,0,0,4
1991,MIN,MIN,AL,Minnesota Twins,95,67,776,652,0,1,1,4,7
1991,ATL,ATL,NL,Atlanta Braves,94,68,749,644,1,0,0,3,7
1992,TOR,TOR,AL,Toronto Blue Jays,96,66,780,682,0,1,1,4,6
1992,ATL,ATL,NL,Atlanta Braves,98,64,682,569,1,0,0,2,6
1993,TOR,TOR,AL,Toronto Blue Jays,95,67,847,742,0,1,1,4,6
1993,PHI,PHI,NL,Philadelphia Phillies,97,65,877,740,1,0,0,2,6
1995,ATL,ATL,NL,Atlanta Braves,90,54,645,540,1,0,1,4,6
1995,CLE,CLE,AL,Cleveland Indians,100,44,840,607,0,1,0,2,6
1996,NYA,NYY,AL,New York Yankees,92,70,871,787,0,1,1,4,6
1996,ATL,ATL,NL,Atlanta Braves,96,66,773,648,1,0,0,2,6
1997,FLO,FLA,NL,Florida Marlins,92,70,740,669,1,0,1,4,7
1997,CLE,CLE,AL,Cleveland Indians,86,75,868,815,0,1,0,3,7
1998,NYA,NYY,AL,New York Yankees,114,48,965,656,0,1,1,4,4
1998,SDN,SDP,NL,San Diego Padres,98,64,749,635,1,0,0,0,4
1999,NYA,NYY,AL,New York Yankees,98,64,900,731,0,1,1,4,4
1999,ATL,ATL,NL,Atlanta Braves,103,59,840,661,1,0,0,0,4
2000,NYA,NYY,AL,New York Yankees,87,74,871,814,0,1,1,4,5
2000,NYN,NYM,NL,New York Mets,94,68,807,738,1,0,0,1,5
2001,ARI,ARI,NL,Arizona Diamondbacks,92,70,818,677,1,0,1,4,7
2001,NYA,NYY,AL,New York Yankees,95,65,804,713,0,1,0,3,7
